,ProductId,ProductName,Branch,level_1,level_2,level_3,Image,ProductUrl,PricePerItem,PriceMode,HasMultiBuyDeal,MultiBuyDeal,MultiBuyBasePrice,MultiBuyPrice,MultiBuyQuantity,PromoBadgeImageLabel
0,5000961-EA-000NW,Johnson's Baby Lotion,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Bathing & Skin Care,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5000961.png,www.ishopnewworld.co.nz/product/5000961_ea_000nw?name=baby-lotion,4.89,ea,False,No,4.89,0.0,0.0,No
1,5000962-EA-000NW,Johnson's Baby Oil,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Bathing & Skin Care,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5000962.png,www.ishopnewworld.co.nz/product/5000962_ea_000nw?name=baby-oil,4.89,ea,False,No,4.89,0.0,0.0,No
2,5000963-EA-000NW,SMA Balanced Nutrition From Birth Infant Formula,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Formula & Toddler Food,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5000963.png,www.ishopnewworld.co.nz/product/5000963_ea_000nw?name=balanced-nutrition-from-birth-infant-formula,17.99,ea,False,No,17.99,17.99,1.0,Saver
3,5000965-EA-000NW,Johnson's Baby Powder,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Nappies & Changing,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5000965.png,www.ishopnewworld.co.nz/product/5000965_ea_000nw?name=baby-powder,2.99,ea,False,No,2.99,2.99,1.0,Saver
4,5000966-EA-000NW,Johnson's Baby Powder,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Nappies & Changing,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5000966.png,www.ishopnewworld.co.nz/product/5000966_ea_000nw?name=baby-powder,4.89,ea,False,No,4.89,0.0,0.0,No
5,5001100-EA-000NW,Vaseline White Petroleum Jelly,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Nappies & Changing,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5001100.png,www.ishopnewworld.co.nz/product/5001100_ea_000nw?name=white-petroleum-jelly,3.49,ea,False,No,3.49,0.0,0.0,No
6,5001110-EA-000NW,Vaseline White Petroleum Jelly,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Nappies & Changing,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5001110.png,www.ishopnewworld.co.nz/product/5001110_ea_000nw?name=white-petroleum-jelly,5.29,ea,False,No,5.29,0.0,0.0,No
7,5001289-EA-000NW,Bonjela Sugar Free Teething & Mouth Ulcer Gel,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Health,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5001289.png,www.ishopnewworld.co.nz/product/5001289_ea_000nw?name=sugar-free-teething-%26-mouth-ulcer-gel,8.99,ea,False,No,8.99,0.0,0.0,No
8,5001402-EA-000NW,Johnson's Nursing Pads Ivory,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Nursing & Feeding,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5001402.png,www.ishopnewworld.co.nz/product/5001402_ea_000nw?name=nursing-pads-ivory,6.99,ea,False,No,6.99,6.99,1.0,Club Deal
9,5001456-EA-000NW,Johnson's Baby Soap Twin Pack,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Bathing & Skin Care,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5001456.png,www.ishopnewworld.co.nz/product/5001456_ea_000nw?name=baby-soap-twin-pack,2.49,ea,False,No,2.49,0.0,0.0,No
10,5001641-EA-000NW,Friends Odourised Nappy Bags,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Nappies & Changing,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5001641.png,www.ishopnewworld.co.nz/product/5001641_ea_000nw?name=odourised-nappy-bags,2.39,ea,False,No,2.39,0.0,0.0,No
11,5002114-EA-000NW,Huggies Fragrance Free Thick Baby Wipes,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Wipes,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5002114.png,www.ishopnewworld.co.nz/product/5002114_ea_000nw?name=fragrance-free-thick-baby-wipes,3.49,ea,False,No,3.49,3.49,1.0,Saver
12,5002115-EA-000NW,Huggies Fragrance Free Thick & Soft Baby Wipes,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Wipes,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5002115.png,www.ishopnewworld.co.nz/product/5002115_ea_000nw?name=fragrance-free-thick-%26-soft-baby-wipes,6.99,ea,False,No,6.99,0.0,0.0,No
13,5002485-EA-000NW,Farex Teething Rusks 6+Months,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Formula & Toddler Food,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5002485.png,www.ishopnewworld.co.nz/product/5002485_ea_000nw?name=teething-rusks-6%2bmonths,4.19,ea,False,No,4.19,0.0,0.0,No
14,5003068-EA-000NW,Johnson's Baby Bath,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Bathing & Skin Care,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5003068.png,www.ishopnewworld.co.nz/product/5003068_ea_000nw?name=baby-bath,4.89,ea,False,No,4.89,0.0,0.0,No
15,5004912-EA-000NW,Pams Fragrance Free Thick Wipes,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Wipes,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5004912.png,www.ishopnewworld.co.nz/product/5004912_ea_000nw?name=fragrance-free-thick-wipes,2.19,ea,True,Buy 2 for 4.00.,2.19,4.0,2.0,Multibuy Super Saver
16,5004920-EA-000NW,Pams Baby Scented Thick Wipes Travel Pack,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Wipes,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5004920.png,www.ishopnewworld.co.nz/product/5004920_ea_000nw?name=baby-scented-thick-wipes-travel-pack,1.29,ea,False,No,1.29,0.0,0.0,No
17,5005844-EA-000NW,Silk Fragrance Free With Baby Lotion Quality Wipes,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Wipes,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5005844.png,www.ishopnewworld.co.nz/product/5005844_ea_000nw?name=fragrance-free-with-baby-lotion-quality-wipes,2.19,ea,False,No,2.19,2.19,1.0,Store Saver
18,5006109-EA-000NW,Pams Overhead Bibs,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Nursing & Feeding,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5006109.png,www.ishopnewworld.co.nz/product/5006109_ea_000nw?name=overhead-bibs,6.99,ea,False,No,6.99,0.0,0.0,No
19,5006653-EA-000NW,Karicare Goat Milk Stage 1 0-6 Months Infant Formula,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Formula & Toddler Food,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5006653.png,www.ishopnewworld.co.nz/product/5006653_ea_000nw?name=goat-milk-stage-1-0-6-months-infant-formula,45.99,ea,False,No,45.99,0.0,0.0,No
20,5006654-EA-000NW,Karicare Goat Milk Stage 2 6-12 Months Follow On Formula,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Formula & Toddler Food,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5006654.png,www.ishopnewworld.co.nz/product/5006654_ea_000nw?name=goat-milk-stage-2-6-12-months-follow-on-formula,45.99,ea,False,No,45.99,0.0,0.0,No
21,5006655-EA-000NW,Karicare Gold +1 From Birth Infant Formula,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Formula & Toddler Food,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5006655.png,www.ishopnewworld.co.nz/product/5006655_ea_000nw?name=gold-%2b1-from-birth-infant-formula,27.99,ea,False,No,27.99,0.0,0.0,No
22,5006656-EA-000NW,Karicare Gold + 2 From 6 Months Follow On Formula,New World Mt Roskill,"Baby, Toddler & Kids",Baby Care,Baby Formula & Toddler Food,https://a.fsimg.co.nz/product/retail/fan/image/200x200/5006656.png,www.ishopnewworld.co.nz/product/5006656_ea_000nw?name=gold-%2b-2-from-6-months-follow-on-formula,27.99,ea,False,No,27.99,0.0,0.0,No
