,name,cat
0,moccona strong cappuccino sachets,drinks
1,nescafe dolce gusto americano capsules,drinks
2,starbucks caffe varona capsules,drinks
3,robert harris italian roast coffee capsules,drinks
4,moccona latte sachets,drinks
5,jed s coffee co x strength extreme 100 arabica plunger grind coffee beans,drinks
6,red seal sweet dreams tea bags,drinks
7,nestle milo 30 less added sugar energy drink,drinks
8,moccona classic 8 dark roast coffee,drinks
9,red seal green tea lemon ginger tea bags,drinks
10,healtheries detox dandelion milk thistle with lemon tea bags,drinks
11,dilmah earl grey tagless tea bags,drinks
12,robert harris plunger filter grind 100 arabica fresh coffee,drinks
13,robert harris french roast coffee capsules,drinks
14,karajoz organic plunger coffee,drinks
15,red seal red bush tea traditional bags,drinks
16,karajoz organic whole beans,drinks
17,moccona classic 5 decaffeinated coffee,drinks
18,robert harris jamican blue mountain style plunger filter grind 100 arabica fresh coffee,drinks
19,nestle coffee mate coffee-mate coffee whitener,drinks
20,robert harris italian roast espresso grind 100 fresh arabica coffee,drinks
21,red seal lemon ginger tea bags,drinks
22,healtheries lemon green tea,drinks
23,avalanche franz josef coffee whole bean strength 5,drinks
24,jarrah hot choc,drinks
25,twinings lady grey tea bags,drinks
26,starbucks sumatra intensity 10 single origin coffee capsules,drinks
27,starbucks blonde espresso roast capsules,drinks
28,jed s coffee co x strength extreme 100 arabica whole coffee beans,drinks
29,jed s coffee co strong strength 3 100 arabica whole coffee beans,drinks
30,red seal fruit lovers variety pack tea bags,drinks
31,nescafe flat white coffee sachets,drinks
32,red seal blood orange tea bags,drinks
33,bell pure green zesty tea bags,drinks
34,nescafe gold strong 7 intense coffee,drinks
35,aurora italian blend coffee beans,drinks
36,nescafe gold intense strong 7 coffee,drinks
37,bell decaf tea bags,drinks
38,robert harris colombian blend coffee capsules,drinks
39,l or espresso profondo intensity 8 coffee aluminium capsules,drinks
40,karajoz espresso coffee,drinks
41,dilmah ceylon green tea with jasmine tea bags,drinks
42,red seal orange turmeric tea bags,drinks
43,nescafe gold medium 4 rich coffee,drinks
44,karajoz plunger coffee,drinks
45,twinings new zealand breakfast tea bags,drinks
46,moccona specialty blend coffee indulgence,drinks
47,ti ora ginger lemongrass new zealand kawakawa pyramid green tea bags,drinks
48,l or espresso colombia intensity 8 coffee aluminium capsules,drinks
49,l or espresso ristretto decaf intensity 9 coffee aluminium capsules,drinks
50,nescafe classic black roast rich dark coffee,drinks
51,moccona cafe classics caramel latte sachets,drinks
52,fagg s coffee filters size 4 8-12 cups,drinks
53,lipton chai latte vanilla sachets,drinks
54,nestle caro extra delicious cereal beverage,drinks
55,dilmah ceylon green tea with lemongrass tea bags,drinks
56,dilmah decaffeinated tea bags,drinks
57,twinings classics earl grey loose leaf tea,drinks
58,special blend granulated instant coffee,drinks
59,special blend instant coffee,drinks
60,nestle milo energy drink,drinks
61,nescafe original instant coffee,drinks
62,moccona classic 5 medium roast coffee,drinks
63,dilmah premium single origin 100 pure ceylon tea bags,drinks
64,bell original tea bags,drinks
65,nescafe classic coffee,drinks
66,cadbury drinking chocolate,drinks
67,choysa round tea bags,drinks
68,moccona specialty blend indulgence 8 coffee,drinks
69,nescafe classic espresso coffee,drinks
70,nescafe classic decaf coffee,drinks
71,nescafe caramel latte sachets,drinks
72,pams café roast instant coffee granules,drinks
73,karajoz xxx strong blend whole coffee beans,drinks
74,red seal raspberry leaf tea bags,drinks
75,nescafe dolce gusto hot chocolate capsules,drinks
76,civo supremo fresh roasted coffee beans,drinks
77,ti ora herbal infusion lemon honey with new zealand manuka leaf pyramid tea bags,drinks
78,karajoz coffee company professional barista coffee beans,drinks
79,chanui english breakfast tea bags,drinks
80,quarterpast caramel syrup for coffee,drinks
81,nescafe latte coffee sachets,drinks
82,robert harris viva decaf plunger filter grind 100 arabica fresh coffee,drinks
83,moccona a hint of natural hazelnut swirl coffee,drinks
84,vittoria espresso espressotoria coffee capsules 12s,drinks
85,jed s coffee co strength 4 very strong aluminium coffee capsules,drinks
86,jed s coffee co x strength extreme coffee aluminuim capsules,drinks
87,ti ora peach passionfruit new zealand kawakawa pyramid tea bags,drinks
88,jed s coffee co strength 5 extra strong aluminium coffee capsules,drinks
89,weight watchers drinking chocolate,drinks
90,nescafe dolce gusto latte macchiato capsules,drinks
91,twinings pure green tea bags,drinks
92,healtheries chamomile tea bags,drinks
93,bell kenya bold tea bags,drinks
94,nescafe mocha sachets,drinks
95,avalanche caramel latte 99 sugar free coffee sticks,drinks
96,jarrah french vanilla latte,drinks
97,jarrah coffee sensation brazil delight,drinks
98,nescafe vanilla latte sachets,drinks
99,jarrah italian hazelnut latte,drinks
100,nescafe cappuccino sachets,drinks
101,avalanche divine drinking chocolate,drinks
102,avalanche flat white 99 sugar free coffee sticks,drinks
103,nestle coffee milk,drinks
104,nescafe cafe menu mocha sachets,drinks
105,dilmah premium single origin 100 pure ceylon tea,drinks
106,nescafe cafe menu caramel latte sachets,drinks
107,hummingbird oomph coffee fair trade organic plunger coffee,drinks
108,l affare primo plunger filter grind,drinks
109,avalanche cappuccino 99 sugar free coffee sticks,drinks
110,hummingbird oomph coffee fair trade organic espresso coffee,drinks
111,jed s coffee co extra strong strength 5 100 arabica plunger grind coffee,drinks
112,nescafe skim cappuccino sachets,drinks
113,nescafe gold coconut latte sachets,drinks
114,starbucks caramel macchiato 100 arabica coffee capsules,drinks
115,twinings green lemon tea bags,drinks
116,quarterpast vanilla syrup for coffee,drinks
117,healtheries sleep chamomile passionflower original tea bags,drinks
118,karajoz xxx strong blend plunger coffee,drinks
119,nescafe gold almond latte sachets,drinks
120,ti ora fruit infusion forest fruit with new zealand manuka leaf pyramid tea bags,drinks
121,robert harris french roast dark 5 freeze dried instant coffee,drinks
122,robert harris new guinea gold plunger filter grind 100 arabica fresh coffee,drinks
123,starbucks cappuccino 100 arabica coffee capsules,drinks
124,jed s coffee co strength 3 strong aluminium coffee capsules,drinks
125,karajoz organic coffee beans,drinks
126,starbucks pike place roast lungo coffee capsules,drinks
127,quarterpast hazelnut syrup for coffee,drinks
128,starbucks house blend americano 100 arabica coffee capsules,drinks
129,nescafe gold oat latte sachets,drinks
130,starbucks espresso roast 100 arabica coffee capsules,drinks
131,vittoria original chocochino,drinks
132,aurora medaglia d oro water decaffeinated ground coffee,drinks
133,starbucks veranda blend americano 100 arabica coffee capsules,drinks
134,starbucks blonde espresso roast 100 arabica coffee capsules,drinks
135,moccona turkish delight dream latte sachets,drinks
136,healtheries liquorice tea bags,drinks
137,starbucks dark roast premium instant coffee,drinks
138,starbucks medium roast premium instant coffee,drinks
139,quarterpast dark drinking chocolate,drinks
140,quarterpast orange drinking chocolate,drinks
141,red seal peppermint tea bags,drinks
142,jed s coffee co very strong strength 4 100 arabica plunger grind coffee,drinks
143,nescafe cafe menu vanilla latte sachets,drinks
144,moccona cafe cappuccino sachets,drinks
145,avalanche 99 sugar free drinking chocolate,drinks
146,hummingbird oomph fair trade organic coffee beans,drinks
147,robert harris italian roast plunger filter grind 100 arabica fresh coffee,drinks
148,healtheries lemon ginger with apple tea bags,drinks
149,pg tips tea bags,drinks
150,jarrah vienna cinnamon latte,drinks
151,l affare primo whole beans,drinks
152,jarrah swiss mochaccino,drinks
153,moccona caramel latte sachets,drinks
154,robert harris french roast plunger filter grind 100 fresh arabica coffee,drinks
155,twinings english breakfast tea bags,drinks
156,nescafe gold medium 5 original coffee,drinks
157,robert harris italian roast dark 5 freeze dried instant coffee,drinks
158,avalanche melt coffee whole bean strength 4,drinks
159,avalanche mochaccino 99 sugar free coffee sticks,drinks
160,twinings earl grey tea bags,drinks
161,jed s coffee co x strength extreme 100 arabica espresso grind coffee,drinks
162,nescafe coffee classic,drinks
163,aurora coffee ground italian blend,drinks
164,nescafe cappuccino decaf sachets,drinks
165,red seal green tea bags,drinks
166,chicco d oro premium blend coffee beans,drinks
167,moccona double shot latte sachets,drinks
168,red seal raspberry strawberry tea bags,drinks
169,aurora medaglia d oro prima qualita ground coffee,drinks
170,dilmah english breakfast tea bags,drinks
171,lipton chai latte classic milk tea sachets,drinks
172,l or espresso onyx intensity 12 coffee aluminium capsules,drinks
173,red seal relaxing tea bags,drinks
174,taylors of harogate yorkshire proper black tea bags,drinks
175,nescafe dolce gusto cappucino capsules,drinks
176,ovaltine energy drink powder,drinks
177,inka instant cereal beverage,drinks
178,chanui organic green tea bags,drinks
179,l or supremo intensity 10 espresso coffee aluminium capsules,drinks
180,delta premium blend ground coffee,drinks
181,nescafe cafe menu hazelnut latte sachets,drinks
182,nescafe hazelnut latte sachets,drinks
183,robert harris colombian blend medium 3 freeze dried instant coffee,drinks
184,jed s coffee co extra strong strength 5 100 arabica whole coffee beans,drinks
185,jed s coffee co very strong strength 4 100 arabica espresso grind coffee,drinks
186,moccona mochaccino sachets,drinks
187,moccona french style 3 smooth rounded coffee,drinks
188,robert harris italian whole beans 100 fresh arabica coffee,drinks
189,starbucks house blend lungo capsules,drinks
190,jed s coffee co very strong strength 4 freeze dried instant coffee,drinks
191,jed s coffee co very strong strength 4 100 arabica whole coffee beans,drinks
192,starbucks espresso roast capsules,drinks
193,avalanche melt coffee plunger filter strength 3,drinks
194,red seal red bush traditional rooibos tea bags,drinks
195,jed s coffee co strong strength 3 freeze dried instant coffee,drinks
196,l affare primo coffee espresso stovetop grind,drinks
197,jed s coffee co strong strength 3 100 arabica plunger grind coffee,drinks
198,dilmah extra strength single origin 100 pure ceylon tagless tea bags,drinks
199,robert harris roma roast espresso grind 100 fresh arabica coffee,drinks
200,nescafe strong cappucinno sachets,drinks
201,healtheries peppermint herbal tea bags,drinks
202,jed s coffee co very strong strength 5 freeze dried instant coffee,drinks
203,red seal chamomile tea bags,drinks
204,nescafe dolce gusto flat white capsules,drinks
205,aurora medaglia d oro italian style ground coffee,drinks
206,avalanche melt coffee espresso strength 4,drinks
207,moccona a hint of natural caramel drizzle coffee,drinks
208,nescafe dolce gusto cafe au lait capsules,drinks
209,chanui pure ceylon foiled wrapped tea bags,drinks
210,healtheries superfruits tea bags,drinks
211,nescafe gold original medium 5 coffee,drinks
212,starbucks colombia capsules,drinks
213,red seal peach pineapple tea bags,drinks
214,bell citrus zesty green tea bags,drinks
215,nescafe gold decaf medium 5 decaffeinated coffee,drinks
216,moccona ristretto 12 coffee capsules,drinks
217,moccona lungo 8 coffee capsules,drinks
218,robert harris roma roast coffee capsules,drinks
219,red seal superfruits tea bags,drinks
220,nescafe dolce gusto espresso intenso capsules,drinks
221,bell ginger lemon zesty green tea bags,drinks
222,karajoz fresh roasted coffee beans,drinks
223,avalanche coffee italian freeze dried refill,drinks
224,dilmah ceylon pure green tea bags,drinks
225,healtheries peppermint tea bags,drinks
226,aurora prima qualita coffee beans,drinks
227,ti ora herbal infusion peppermint with spearmint new zealand kawakawa pyramid tea bags,drinks
228,moccona espresso 10 coffee capsules,drinks
229,hummingbird oomph fair trade organic plunger coffee,drinks
230,nescafe dolce gusto ristretto ardenza capsules,drinks
231,red seal blueberry blackcurrant tea bags,drinks
232,v energy drink sugarfee cans,drinks
233,mac s apple cranberry sparkling soda,drinks
234,pams dry ginger ale,drinks
235,remedy good energy kakadu plum organic kombucha,drinks
236,barker s lite blackcurrants fruit syrup,drinks
237,the homegrown juice company 100 nz apple juice,drinks
238,glaceau revive peach pineapple vitamin water,drinks
239,coca-cola vanilla no sugar soft drink cans,drinks
240,robinsons apple blackcurrant no added sugar cordial,drinks
241,lo bros passionfruit kombucha,drinks
242,pams soda water with a twist of lemon,drinks
